*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=7X8_VUMultiplex
*Date=21:46:29
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
92;220;THT;145.762;-37.0919;-1.27222e-14;Bottom;R10
93;;DIP16 [THT];149.629;-17.99;90;Bottom;U1
94;;3 mm [THT];99.3507;-57.4121;-90;Bottom;LED38
95;;3 mm [THT];122.153;-72.704;-90;Bottom;LED32
96;;3 mm [THT];7.81159;-57.4375;-90;Bottom;LED70
97;;;114.012;-10.4219;0;Bottom;Jumper6
98;220;THT;31.4854;-52.3343;-1.27222e-14;Bottom;R54
99;220;THT;77.1244;-52.3839;-1.27222e-14;Bottom;R38
100;;3 mm [THT];53.6307;-80.2721;-90;Bottom;LED49
101;220;THT;54.3217;-29.4719;-1.27222e-14;Bottom;R49
102;220;THT;100.042;-59.9519;-6.36109e-15;Bottom;R29
103;;3 mm [THT];99.3507;-80.2721;-90;Bottom;LED33
104;;;67.0217;-16.7719;0;Bottom;Jumper17
105;220;THT;77.1244;-77.7839;-1.27222e-14;Bottom;R34
106;220;THT;122.844;-60.0039;-6.36109e-15;Bottom;R21
107;220;THT;145.762;-29.4719;-1.27222e-14;Bottom;R17
108;220;THT;8.50262;-75.2173;-1.27222e-14;Bottom;R59
109;;3 mm [THT];53.6307;-72.6521;-90;Bottom;LED56
110;;3 mm [THT];122.153;-34.604;-90;Bottom;LED29
111;;3 mm [THT];76.4334;-65.084;-90;Bottom;LED47
112;220;THT;77.1244;-60.0039;-6.36109e-15;Bottom;R37
113;220;THT;54.3217;-44.7119;-1.27222e-14;Bottom;R47
114;220;THT;100.042;-67.5719;-1.27222e-14;Bottom;R28
115;220;THT;145.762;-77.7319;-1.27222e-14;Bottom;R16
116;220;THT;145.762;-52.3319;-1.27222e-14;Bottom;R12
117;220;THT;8.50262;-67.5973;-1.27222e-14;Bottom;R60
118;;3 mm [THT];122.153;-57.464;-90;Bottom;LED30
119;;;8.60168;-5.34194;0;Bottom;Jumper32
120;;3 mm [THT];7.81159;-80.2975;-90;Bottom;LED65
121;;;20.0317;-11.6919;0;Bottom;Jumper28
122;;DIP16 [THT];12.3699;-18.0154;90;Bottom;U10
123;;;65.7517;-11.6919;0;Bottom;Jumper16
124;220;THT;31.4854;-67.5743;-1.27222e-14;Bottom;R52
125;;DIP16 [THT];103.909;-17.99;90;Bottom;U6
126;;;89.8817;-16.7719;0;Bottom;Jumper11
127;220;THT;77.1244;-44.7639;-1.27222e-14;Bottom;R39
128;;3 mm [THT];99.3507;-49.7921;-90;Bottom;LED35
129;220;THT;54.3217;-37.0919;-1.27222e-14;Bottom;R48
130;;3 mm [THT];99.3507;-72.6521;-90;Bottom;LED40
131;220;THT;122.844;-37.1439;-1.27222e-14;Bottom;R24
132;;3 mm [THT];7.81159;-65.0575;-90;Bottom;LED71
133;;DIP16 [THT];80.9917;-18.0419;90;Bottom;U7
134;;3 mm [THT];145.071;-49.7921;-90;Bottom;LED21
135;;3 mm [THT];30.7944;-65.0344;-90;Bottom;LED63
136;;THT;13.6817;-7.88194;-90;Bottom;J3
137;;;135.602;-16.7719;0;Bottom;Jumper35
138;220;THT;100.042;-75.1919;-1.27222e-14;Bottom;R27
139;;3 mm [THT];145.071;-34.5521;-90;Bottom;LED23
140;220;THT;145.762;-75.1919;-1.27222e-14;Bottom;R15
